date,bitcoin,litecoin,ethereum,monero
1445904000000,294.81,3.1,0.85,0.41
1445990400000,303.64,3.09,1.01,0.45
1446076800000,313.91,3.87,1.16,0.45
1446163200000,325.8,3.97,1.04,0.46
1446249600000,312.28,3.63,0.91,0.4
1446336000000,325.0,3.82,1.06,0.42
1446422400000,350.77,4.13,0.96,0.42
1446508800000,398.24,4.53,1.0,0.43
1446595200000,404.36,4.05,0.9,0.48
1446681600000,387.47,3.84,0.91,0.43
1446768000000,372.83,3.5,0.91,0.44
1446854400000,387.06,3.55,0.92,0.45
1446940800000,371.5,3.39,1.03,0.5
1447027200000,380.64,3.38,1.0,0.47
1447113600000,336.87,3.15,0.93,0.46
1447200000000,305.98,2.94,0.79,0.44
1447286400000,337.96,3.3,0.9,0.44
1447372800000,337.37,3.23,0.9,0.46
1447459200000,331.5,3.19,0.88,0.43
1447545600000,320.48,3.08,0.91,0.42
1447632000000,331.35,3.21,0.93,0.44
1447718400000,335.11,3.21,1.0,0.43
1447804800000,335.45,3.22,0.99,0.42
1447891200000,325.57,3.13,0.95,0.42
1447977600000,321.42,3.12,0.93,0.39
1448064000000,325.16,3.14,0.97,0.39
1448150400000,323.4,3.14,0.96,0.39
1448236800000,322.83,3.13,0.95,0.39
1448323200000,319.98,3.11,0.9,0.39
1448409600000,328.17,3.31,0.87,0.39
1448496000000,356.24,3.65,0.89,0.41
1448582400000,359.01,3.57,0.87,0.39
1448668800000,356.21,3.49,0.92,0.39
1448755200000,371.49,3.66,0.87,0.4
1448841600000,378.26,3.62,0.87,0.4
1448928000000,363.45,3.44,0.88,0.38
1449014400000,358.82,3.33,0.82,0.37
1449100800000,360.95,3.37,0.82,0.37
1449187200000,362.77,3.36,0.84,0.37
1449273600000,390.64,3.53,0.86,0.44
1449360000000,394.01,3.48,0.83,0.44
1449446400000,394.36,3.62,0.8,0.42
1449532800000,412.93,3.69,0.82,0.44
1449619200000,417.37,3.65,0.79,0.45
1449705600000,416.91,3.63,0.85,0.44
1449792000000,452.41,3.82,0.92,0.46
1449878400000,434.9,3.59,0.97,0.45
1449964800000,435.82,3.6,0.96,0.46
1450051200000,443.28,3.58,1.0,0.54
1450137600000,465.0,3.81,1.02,0.56
1450224000000,453.91,3.67,0.99,0.52
1450310400000,456.47,3.73,0.94,0.5
1450396800000,463.82,3.76,0.92,0.5
1450483200000,462.05,3.74,0.91,0.49
1450569600000,441.13,3.51,0.9,0.51
1450656000000,437.81,3.43,0.9,0.49
1450742400000,436.24,3.38,0.88,0.48
1450828800000,442.82,3.57,0.87,0.48
1450915200000,454.91,3.62,0.86,0.49
1451001600000,455.74,3.61,0.87,0.49
1451088000000,417.09,3.45,0.85,0.45
1451174400000,423.92,3.5,0.86,0.45
1451260800000,420.71,3.45,0.84,0.45
1451347200000,432.15,3.49,0.87,0.46
